store,date,year,month,week,quarter,month_fac,is_holiday,type,size,total_weekly_sales,temperature,fuel_price,cpi,unemployment
1,2010-12-03,2010,12,48,4,Dec,FALSE,A,151315,1548033.7799999993,49.27,2.708,211.607193,7.838
1,2010-12-10,2010,12,49,4,Dec,FALSE,A,151315,1682614.26,46.33,2.843,211.4659526,7.838
1,2010-12-17,2010,12,50,4,Dec,FALSE,A,151315,1891034.929999999,49.84,2.869,211.4053124,7.838
1,2010-12-24,2010,12,51,4,Dec,FALSE,A,151315,2387950.1999999997,52.33,2.886,211.4051222,7.838
1,2010-12-31,2010,12,52,4,Dec,TRUE,A,151315,1367320.0099999998,48.43,2.943,211.4049321,7.838
1,2011-01-07,2011,1,1,1,Jan,FALSE,A,151315,1444732.2799999996,48.27,2.976,211.4047419,7.742
1,2011-01-14,2011,1,2,1,Jan,FALSE,A,151315,1391013.9599999997,35.4,2.983,211.4574109,7.742
1,2011-01-21,2011,1,3,1,Jan,FALSE,A,151315,1327405.4200000002,44.04,3.016,211.8272343,7.742
1,2011-01-28,2011,1,4,1,Jan,FALSE,A,151315,1316899.31,43.83,3.01,212.1970577,7.742
1,2011-02-04,2011,2,5,1,Feb,FALSE,A,151315,1606629.5799999998,42.27,2.989,212.5668812,7.742
1,2011-02-11,2011,2,6,1,Feb,TRUE,A,151315,1649614.9300000002,36.39,3.022,212.9367046,7.742
1,2011-02-18,2011,2,7,1,Feb,FALSE,A,151315,1686842.7799999996,57.36,3.045,213.2478853,7.742
1,2011-02-25,2011,2,8,1,Feb,FALSE,A,151315,1456800.2799999998,62.9,3.065,213.535609,7.742
1,2011-03-04,2011,3,9,1,Mar,FALSE,A,151315,1636263.41,59.58,3.288,213.8233327,7.742
1,2011-03-11,2011,3,10,1,Mar,FALSE,A,151315,1553191.6300000001,53.56,3.459,214.1110564,7.742
1,2011-03-18,2011,3,11,1,Mar,FALSE,A,151315,1576818.0599999998,62.76,3.488,214.3627114,7.742
1,2011-03-25,2011,3,12,1,Mar,FALSE,A,151315,1541102.38,69.97,3.473,214.5999389,7.742
1,2011-04-01,2011,4,13,2,Apr,FALSE,A,151315,1495064.75,59.17,3.524,214.8371664,7.682
1,2011-04-08,2011,4,14,2,Apr,FALSE,A,151315,1614259.3500000006,67.84,3.622,215.0743939,7.682
1,2011-04-15,2011,4,15,2,Apr,FALSE,A,151315,1559888.9999999998,71.27,3.743,215.2918561,7.682
1,2011-04-22,2011,4,16,2,Apr,FALSE,A,151315,1564819.81,72.99,3.807,215.4599053,7.682
1,2011-04-29,2011,4,17,2,Apr,FALSE,A,151315,1455090.6899999997,72.03,3.81,215.6279544,7.682
1,2011-05-06,2011,5,18,2,May,FALSE,A,151315,1629391.2800000003,64.61,3.906,215.7960035,7.682
1,2011-05-13,2011,5,19,2,May,FALSE,A,151315,1604775.58,75.64,3.899,215.9640526,7.682
1,2011-05-20,2011,5,20,2,May,FALSE,A,151315,1428218.2699999996,67.63,3.907,215.7339202,7.682
1,2011-05-27,2011,5,21,2,May,FALSE,A,151315,1466046.6699999995,77.72,3.786,215.5037878,7.682
1,2011-06-03,2011,6,22,2,Jun,FALSE,A,151315,1635078.4100000004,83,3.699,215.2736553,7.682
1,2011-06-10,2011,6,23,2,Jun,FALSE,A,151315,1588948.3199999998,83.13,3.648,215.0435229,7.682
1,2011-06-17,2011,6,24,2,Jun,FALSE,A,151315,1532114.8599999996,86.41,3.637,214.9980596,7.682
1,2011-06-24,2011,6,25,2,Jun,FALSE,A,151315,1438830.1500000001,83.58,3.594,215.0910982,7.682
1,2011-07-01,2011,7,26,3,Jul,FALSE,A,151315,1488538.09,85.55,3.524,215.1841368,7.962
1,2011-07-08,2011,7,27,3,Jul,FALSE,A,151315,1534849.6400000004,85.83,3.48,215.2771754,7.962
1,2011-07-15,2011,7,28,3,Jul,FALSE,A,151315,1455119.97,88.54,3.575,215.3611087,7.962
1,2011-07-22,2011,7,29,3,Jul,FALSE,A,151315,1396926.8200000005,85.77,3.651,215.4222784,7.962
1,2011-07-29,2011,7,30,3,Jul,FALSE,A,151315,1352219.7899999998,86.83,3.682,215.4834482,7.962
1,2011-08-05,2011,8,31,3,Aug,FALSE,A,151315,1624383.75,91.65,3.684,215.544618,7.962
1,2011-08-12,2011,8,32,3,Aug,FALSE,A,151315,1525147.09,90.76,3.638,215.6057878,7.962
1,2011-08-19,2011,8,33,3,Aug,FALSE,A,151315,1530761.43,89.94,3.554,215.6693107,7.962
1,2011-08-26,2011,8,34,3,Aug,FALSE,A,151315,1464693.4599999997,87.96,3.523,215.7332258,7.962
1,2011-09-02,2011,9,35,3,Sep,FALSE,A,151315,1550229.2200000002,87.83,3.533,215.7971409,7.962
1,2011-09-09,2011,9,36,3,Sep,TRUE,A,151315,1540471.2400000002,76,3.546,215.861056,7.962
1,2011-09-16,2011,9,37,3,Sep,FALSE,A,151315,1514259.7799999996,79.94,3.526,216.0410526,7.962
1,2011-09-23,2011,9,38,3,Sep,FALSE,A,151315,1380020.2699999998,75.8,3.467,216.3758246,7.962
1,2011-09-30,2011,9,39,3,Sep,FALSE,A,151315,1394561.83,79.69,3.355,216.7105965,7.962
1,2011-10-07,2011,10,40,4,Oct,FALSE,A,151315,1630989.9499999993,69.31,3.285,217.0453684,7.866
1,2011-10-14,2011,10,41,4,Oct,FALSE,A,151315,1493525.9300000002,71.74,3.274,217.3552733,7.866
1,2011-10-21,2011,10,42,4,Oct,FALSE,A,151315,1502562.7800000003,63.71,3.353,217.5159762,7.866
1,2011-10-28,2011,10,43,4,Oct,FALSE,A,151315,1445249.0899999999,66.57,3.372,217.6766791,7.866
1,2011-11-04,2011,11,44,4,Nov,FALSE,A,151315,1697229.5799999994,54.98,3.332,217.837382,7.866
1,2011-11-11,2011,11,45,4,Nov,FALSE,A,151315,1594938.8900000001,59.11,3.297,217.9980849,7.866
1,2011-11-18,2011,11,46,4,Nov,FALSE,A,151315,1539483.7000000002,62.25,3.308,218.2205088,7.866
1,2011-11-25,2011,11,47,4,Nov,TRUE,A,151315,2033320.6600000001,60.14,3.236,218.4676211,7.866
1,2011-12-02,2011,12,48,4,Dec,FALSE,A,151315,1584083.95,48.91,3.172,218.7147333,7.866
1,2011-12-09,2011,12,49,4,Dec,FALSE,A,151315,1799682.38,43.93,3.158,218.9618456,7.866
1,2011-12-16,2011,12,50,4,Dec,FALSE,A,151315,1881176.67,51.63,3.159,219.1794533,7.866
1,2011-12-23,2011,12,51,4,Dec,FALSE,A,151315,2270188.99,47.96,3.112,219.3577216,7.866
1,2011-12-30,2011,12,52,4,Dec,TRUE,A,151315,1497462.7199999997,44.55,3.129,219.5359898,7.866
1,2012-01-06,2012,1,1,1,Jan,FALSE,A,151315,1550369.9199999997,49.01,3.157,219.7142581,7.348
1,2012-01-13,2012,1,2,1,Jan,FALSE,A,151315,1459601.1700000002,48.53,3.261,219.8925263,7.348
1,2012-01-20,2012,1,3,1,Jan,FALSE,A,151315,1394393.84,54.11,3.268,219.9856893,7.348
1,2012-01-27,2012,1,4,1,Jan,FALSE,A,151315,1319325.59,54.26,3.29,220.0788523,7.348
1,2012-02-03,2012,2,5,1,Feb,FALSE,A,151315,1636339.6500000001,56.55,3.36,220.1720153,7.348
1,2012-02-10,2012,2,6,1,Feb,TRUE,A,151315,1802477.4300000004,48.02,3.409,220.2651783,7.348
1,2012-02-17,2012,2,7,1,Feb,FALSE,A,151315,1819869.9999999995,45.32,3.51,220.4257586,7.348
1,2012-02-24,2012,2,8,1,Feb,FALSE,A,151315,1539387.8300000003,57.25,3.555,220.636902,7.348
1,2012-03-02,2012,3,9,1,Mar,FALSE,A,151315,1688420.7599999998,60.96,3.63,220.8480454,7.348
1,2012-03-09,2012,3,10,1,Mar,FALSE,A,151315,1675431.1599999997,58.76,3.669,221.0591887,7.348
1,2012-03-16,2012,3,11,1,Mar,FALSE,A,151315,1677472.78,64.74,3.734,221.2118132,7.348
1,2012-03-23,2012,3,12,1,Mar,FALSE,A,151315,1511068.0699999998,65.93,3.787,221.2864126,7.348
1,2012-03-30,2012,3,13,1,Mar,FALSE,A,151315,1649604.63,67.61,3.845,221.3610119,7.348
1,2012-04-06,2012,4,14,2,Apr,FALSE,A,151315,1899676.8799999997,70.43,3.891,221.4356112,7.143
1,2012-04-13,2012,4,15,2,Apr,FALSE,A,151315,1621031.7,69.07,3.891,221.5102105,7.143
1,2012-04-20,2012,4,16,2,Apr,FALSE,A,151315,1521577.8699999999,66.76,3.877,221.5640737,7.143
1,2012-04-27,2012,4,17,2,Apr,FALSE,A,151315,1468928.3699999994,67.23,3.814,221.6179368,7.143
1,2012-05-04,2012,5,18,2,May,FALSE,A,151315,1684519.99,75.55,3.749,221.6718,7.143
1,2012-05-11,2012,5,19,2,May,FALSE,A,151315,1611096.05,73.77,3.688,221.7256632,7.143
1,2012-05-18,2012,5,20,2,May,FALSE,A,151315,1595901.8699999996,70.33,3.63,221.742674,7.143
1,2012-05-25,2012,5,21,2,May,FALSE,A,151315,1555444.5500000003,77.22,3.561,221.744944,7.143
1,2012-06-01,2012,6,22,2,Jun,FALSE,A,151315,1624477.5800000003,77.95,3.501,221.7472139,7.143
1,2012-06-08,2012,6,23,2,Jun,FALSE,A,151315,1697230.9600000002,78.3,3.452,221.7494839,7.143
1,2012-06-15,2012,6,24,2,Jun,FALSE,A,151315,1630606.9999999998,79.35,3.393,221.7626421,7.143
1,2012-06-22,2012,6,25,2,Jun,FALSE,A,151315,1527845.81,78.39,3.346,221.8030211,7.143
1,2012-06-29,2012,6,26,2,Jun,FALSE,A,151315,1540421.4900000002,84.88,3.286,221.8434,7.143
1,2012-07-06,2012,7,27,3,Jul,FALSE,A,151315,1769854.16,81.57,3.227,221.8837789,6.908
1,2012-07-13,2012,7,28,3,Jul,FALSE,A,151315,1527014.04,77.12,3.256,221.9241579,6.908
1,2012-07-20,2012,7,29,3,Jul,FALSE,A,151315,1497954.7600000002,80.42,3.311,221.9327267,6.908
1,2012-07-27,2012,7,30,3,Jul,FALSE,A,151315,1439123.7100000004,82.66,3.407,221.9412954,6.908
1,2012-08-03,2012,8,31,3,Aug,FALSE,A,151315,1631135.7899999996,86.11,3.417,221.9498642,6.908
1,2012-08-10,2012,8,32,3,Aug,FALSE,A,151315,1592409.97,85.05,3.494,221.9584329,6.908
1,2012-08-17,2012,8,33,3,Aug,FALSE,A,151315,1597868.0500000003,84.85,3.571,222.0384109,6.908
1,2012-08-24,2012,8,34,3,Aug,FALSE,A,151315,1494122.3800000004,77.66,3.62,222.1719457,6.908
1,2012-08-31,2012,8,35,3,Aug,FALSE,A,151315,1582083.4000000001,80.49,3.638,222.3054805,6.908
1,2012-09-07,2012,9,36,3,Sep,TRUE,A,151315,1661767.3299999998,83.96,3.73,222.4390153,6.908
1,2012-09-14,2012,9,37,3,Sep,FALSE,A,151315,1517428.8699999999,74.97,3.717,222.5820193,6.908
1,2012-09-21,2012,9,38,3,Sep,FALSE,A,151315,1506126.06,69.87,3.721,222.7818386,6.908
1,2012-09-28,2012,9,39,3,Sep,FALSE,A,151315,1437059.2600000002,76.08,3.666,222.9816579,6.908
1,2012-10-05,2012,10,40,4,Oct,FALSE,A,151315,1670785.9699999997,68.55,3.617,223.1814772,6.573
1,2012-10-12,2012,10,41,4,Oct,FALSE,A,151315,1573072.8099999998,62.99,3.601,223.3812965,6.573
1,2012-10-19,2012,10,42,4,Oct,FALSE,A,151315,1508068.7700000003,67.97,3.594,223.4257233,6.573
1,2012-10-26,2012,10,43,4,Oct,FALSE,A,151315,1493659.7399999995,69.16,3.506,223.4442513,6.573
2,2010-02-05,2010,2,5,1,Feb,FALSE,A,202307,2136989.46,40.19,2.572,210.7526053,8.324
2,2010-02-12,2010,2,6,1,Feb,TRUE,A,202307,2137809.499999999,38.49,2.548,210.8979935,8.324
2,2010-02-19,2010,2,7,1,Feb,FALSE,A,202307,2124451.5400000005,39.69,2.514,210.9451605,8.324
2,2010-02-26,2010,2,8,1,Feb,FALSE,A,202307,1865097.27,46.1,2.561,210.9759573,8.324
2,2010-03-05,2010,3,9,1,Mar,FALSE,A,202307,1991013.1300000001,47.17,2.625,211.0067542,8.324
2,2010-03-12,2010,3,10,1,Mar,FALSE,A,202307,1990483.7799999998,57.56,2.667,211.037551,8.324
2,2010-03-19,2010,3,11,1,Mar,FALSE,A,202307,1946070.8800000006,54.52,2.72,210.8733316,8.324
2,2010-03-26,2010,3,12,1,Mar,FALSE,A,202307,1750197.81,51.26,2.732,210.6766095,8.324
2,2010-04-02,2010,4,13,2,Apr,FALSE,A,202307,2066187.7199999995,63.27,2.719,210.4798874,8.2
2,2010-04-09,2010,4,14,2,Apr,FALSE,A,202307,1954689.2100000002,65.41,2.77,210.2831653,8.2
2,2010-04-16,2010,4,15,2,Apr,FALSE,A,202307,1874957.9400000002,68.07,2.808,210.1495463,8.2
2,2010-04-23,2010,4,16,2,Apr,FALSE,A,202307,1821990.93,65.11,2.795,210.1000648,8.2
2,2010-04-30,2010,4,17,2,Apr,FALSE,A,202307,1802450.29,66.98,2.78,210.0505833,8.2
2,2010-05-07,2010,5,18,2,May,FALSE,A,202307,2042581.7100000002,71.28,2.835,210.0011018,8.2
2,2010-05-14,2010,5,19,2,May,FALSE,A,202307,1880752.3599999996,73.31,2.854,209.9984585,8.2
2,2010-05-21,2010,5,20,2,May,FALSE,A,202307,1896937.0999999994,74.83,2.826,210.2768443,8.2
2,2010-05-28,2010,5,21,2,May,FALSE,A,202307,1957113.8899999997,81.13,2.759,210.5552301,8.2
2,2010-06-04,2010,6,22,2,Jun,FALSE,A,202307,2102539.9299999997,81.81,2.705,210.833616,8.2
2,2010-06-11,2010,6,23,2,Jun,FALSE,A,202307,2025538.76,83.4,2.668,211.1120018,8.2
2,2010-06-18,2010,6,24,2,Jun,FALSE,A,202307,2001636.96,85.81,2.637,211.1096543,8.2
2,2010-06-25,2010,6,25,2,Jun,FALSE,A,202307,1939927.0899999999,86.26,2.653,210.9950134,8.2
2,2010-07-02,2010,7,26,3,Jul,FALSE,A,202307,2003940.6400000006,82.74,2.669,210.8803726,8.099
2,2010-07-09,2010,7,27,3,Jul,FALSE,A,202307,1880902.6199999994,82.59,2.642,210.7657317,8.099
2,2010-07-16,2010,7,28,3,Jul,FALSE,A,202307,1845879.7900000003,85.32,2.623,210.7577954,8.099
2,2010-07-23,2010,7,29,3,Jul,FALSE,A,202307,1781717.7100000002,87.66,2.608,210.8921319,8.099
2,2010-07-30,2010,7,30,3,Jul,FALSE,A,202307,1804246.1600000004,83.49,2.64,211.0264684,8.099
2,2010-08-06,2010,8,31,3,Aug,FALSE,A,202307,1991909.9799999995,89.53,2.627,211.1608049,8.099
2,2010-08-13,2010,8,32,3,Aug,FALSE,A,202307,1895601.0499999996,89.05,2.692,211.2951413,8.099
2,2010-08-20,2010,8,33,3,Aug,FALSE,A,202307,1964335.23,88.7,2.664,211.2596586,8.099
2,2010-08-27,2010,8,34,3,Aug,FALSE,A,202307,1863840.4900000005,87.12,2.619,211.2241759,8.099
2,2010-09-03,2010,9,35,3,Sep,FALSE,A,202307,1904608.0899999999,81.83,2.577,211.1886931,8.099
2,2010-09-10,2010,9,36,3,Sep,TRUE,A,202307,1839128.8299999998,79.09,2.565,211.1532104,8.099
2,2010-09-17,2010,9,37,3,Sep,FALSE,A,202307,1793903.5999999999,82.05,2.582,211.1806415,8.099
2,2010-09-24,2010,9,38,3,Sep,FALSE,A,202307,1724557.2200000002,81.79,2.624,211.2552578,8.099
2,2010-10-01,2010,10,39,4,Oct,FALSE,A,202307,1827440.4299999995,69.24,2.603,211.3298742,8.163
2,2010-10-08,2010,10,40,4,Oct,FALSE,A,202307,1849921.4400000002,63.19,2.633,211.4044906,8.163
2,2010-10-15,2010,10,41,4,Oct,FALSE,A,202307,1794355.4899999995,65.8,2.72,211.4713286,8.163
2,2010-10-22,2010,10,42,4,Oct,FALSE,A,202307,1737947.6399999997,68.5,2.725,211.5187208,8.163
2,2010-10-29,2010,10,43,4,Oct,FALSE,A,202307,1802755.1099999996,66.24,2.716,211.5661131,8.163
2,2010-11-05,2010,11,44,4,Nov,FALSE,A,202307,1939061.4100000001,57.85,2.689,211.6135053,8.163
2,2010-11-12,2010,11,45,4,Nov,FALSE,A,202307,1916812.74,59.69,2.728,211.6608975,8.163
2,2010-11-19,2010,11,46,4,Nov,FALSE,A,202307,1956739.1700000004,50.81,2.771,211.5470304,8.163
2,2010-11-26,2010,11,47,4,Nov,TRUE,A,202307,2658725.29,62.98,2.735,211.4062867,8.163
2,2010-12-03,2010,12,48,4,Dec,FALSE,A,202307,2015781.27,49.33,2.708,211.265543,8.163
2,2010-12-10,2010,12,49,4,Dec,FALSE,A,202307,2378726.55,45.5,2.843,211.1247993,8.163
2,2010-12-17,2010,12,50,4,Dec,FALSE,A,202307,2609166.75,47.55,2.869,211.0645458,8.163
2,2010-12-24,2010,12,51,4,Dec,FALSE,A,202307,3436007.6799999997,49.97,2.886,211.0646599,8.163
2,2010-12-31,2010,12,52,4,Dec,TRUE,A,202307,1750434.5499999998,47.3,2.943,211.064774,8.163
2,2011-01-07,2011,1,1,1,Jan,FALSE,A,202307,1758050.7899999996,44.69,2.976,211.0648881,8.028
2,2011-01-14,2011,1,2,1,Jan,FALSE,A,202307,1744193.5799999996,33.02,2.983,211.1176713,8.028
2,2011-01-21,2011,1,3,1,Jan,FALSE,A,202307,1751384.9000000001,41.4,3.016,211.4864691,8.028
2,2011-01-28,2011,1,4,1,Jan,FALSE,A,202307,1695371.6800000004,42.83,3.01,211.8552668,8.028
2,2011-02-04,2011,2,5,1,Feb,FALSE,A,202307,1929346.2299999997,38.25,2.989,212.2240646,8.028
2,2011-02-11,2011,2,6,1,Feb,TRUE,A,202307,2168041.61,33.19,3.022,212.5928624,8.028
2,2011-02-18,2011,2,7,1,Feb,FALSE,A,202307,2080884.82,57.83,3.045,212.9033115,8.028
2,2011-02-25,2011,2,8,1,Feb,FALSE,A,202307,1833511.0799999998,60.8,3.065,213.190421,8.028
2,2011-03-04,2011,3,9,1,Mar,FALSE,A,202307,1981607.7800000005,57.77,3.288,213.4775305,8.028
2,2011-03-11,2011,3,10,1,Mar,FALSE,A,202307,1879107.3100000003,52.7,3.459,213.7646401,8.028
2,2011-03-18,2011,3,11,1,Mar,FALSE,A,202307,1902557.6600000001,62.32,3.488,214.0156238,8.028
2,2011-03-25,2011,3,12,1,Mar,FALSE,A,202307,1766162.0499999998,69.42,3.473,214.2521573,8.028
2,2011-04-01,2011,4,13,2,Apr,FALSE,A,202307,1800171.36,55.43,3.524,214.4886908,7.931
2,2011-04-08,2011,4,14,2,Apr,FALSE,A,202307,1847552.61,67,3.622,214.7252242,7.931
2,2011-04-15,2011,4,15,2,Apr,FALSE,A,202307,1856467.8399999999,69.48,3.743,214.9420631,7.931
2,2011-04-22,2011,4,16,2,Apr,FALSE,A,202307,1886339.5999999996,69.39,3.807,215.1096657,7.931
2,2011-04-29,2011,4,17,2,Apr,FALSE,A,202307,1745545.28,69.21,3.81,215.2772683,7.931
2,2011-05-06,2011,5,18,2,May,FALSE,A,202307,1837743.6000000008,61.48,3.906,215.4448709,7.931
2,2011-05-13,2011,5,19,2,May,FALSE,A,202307,1838513.0699999996,74.61,3.899,215.6124735,7.931
2,2011-05-20,2011,5,20,2,May,FALSE,A,202307,1688281.8599999999,67.14,3.907,215.3834778,7.931
2,2011-05-27,2011,5,21,2,May,FALSE,A,202307,1797732.5599999998,76.42,3.786,215.1544822,7.931
2,2011-06-03,2011,6,22,2,Jun,FALSE,A,202307,1933756.2100000004,83.07,3.699,214.9254865,7.931
2,2011-06-10,2011,6,23,2,Jun,FALSE,A,202307,1929153.1600000001,83.4,3.648,214.6964908,7.931
2,2011-06-17,2011,6,24,2,Jun,FALSE,A,202307,1953771.9899999995,86.53,3.637,214.6513538,7.931
2,2011-06-24,2011,6,25,2,Jun,FALSE,A,202307,1790925.8000000005,85.17,3.594,214.7441108,7.931
2,2011-07-01,2011,7,26,3,Jul,FALSE,A,202307,1866243.0000000002,85.69,3.524,214.8368678,7.852
2,2011-07-08,2011,7,27,3,Jul,FALSE,A,202307,1853161.99,87.7,3.48,214.9296249,7.852
2,2011-07-15,2011,7,28,3,Jul,FALSE,A,202307,1785187.2900000003,89.83,3.575,215.0134426,7.852
2,2011-07-22,2011,7,29,3,Jul,FALSE,A,202307,1743816.4100000001,89.34,3.651,215.0749122,7.852
2,2011-07-29,2011,7,30,3,Jul,FALSE,A,202307,1680693.0600000005,90.07,3.682,215.1363819,7.852
2,2011-08-05,2011,8,31,3,Aug,FALSE,A,202307,1876704.2600000005,93.34,3.684,215.1978515,7.852
2,2011-08-12,2011,8,32,3,Aug,FALSE,A,202307,1812768.2600000005,91.58,3.638,215.2593211,7.852
2,2011-08-19,2011,8,33,3,Aug,FALSE,A,202307,1844094.5899999994,89.86,3.554,215.3229307,7.852
2,2011-08-26,2011,8,34,3,Aug,FALSE,A,202307,1821139.9099999997,90.45,3.523,215.386897,7.852
2,2011-09-02,2011,9,35,3,Sep,FALSE,A,202307,1809119.6999999997,89.64,3.533,215.4508632,7.852
2,2011-09-09,2011,9,36,3,Sep,TRUE,A,202307,1748000.6500000001,77.97,3.546,215.5148295,7.852
2,2011-09-16,2011,9,37,3,Sep,FALSE,A,202307,1691439.5200000003,78.85,3.526,215.6944378,7.852
2,2011-09-23,2011,9,38,3,Sep,FALSE,A,202307,1669299.78,75.58,3.467,216.0282356,7.852
2,2011-09-30,2011,9,39,3,Sep,FALSE,A,202307,1650394.4400000002,78.14,3.355,216.3620333,7.852
2,2011-10-07,2011,10,40,4,Oct,FALSE,A,202307,1837553.43,69.92,3.285,216.6958311,7.441
2,2011-10-14,2011,10,41,4,Oct,FALSE,A,202307,1743882.19,71.67,3.274,217.0048261,7.441
2,2011-10-21,2011,10,42,4,Oct,FALSE,A,202307,1834680.2500000002,64.53,3.353,217.1650042,7.441
2,2011-10-28,2011,10,43,4,Oct,FALSE,A,202307,1769296.2500000005,65.87,3.372,217.3251824,7.441
2,2011-11-04,2011,11,44,4,Nov,FALSE,A,202307,1959707.9000000006,55.53,3.332,217.4853605,7.441
2,2011-11-11,2011,11,45,4,Nov,FALSE,A,202307,1920725.1499999992,59.33,3.297,217.6455387,7.441
2,2011-11-18,2011,11,46,4,Nov,FALSE,A,202307,1902762.5000000002,62.01,3.308,217.8670218,7.441
2,2011-11-25,2011,11,47,4,Nov,TRUE,A,202307,2614202.3000000003,56.36,3.236,218.1130269,7.441
2,2011-12-02,2011,12,48,4,Dec,FALSE,A,202307,1954951.9999999998,48.74,3.172,218.3590319,7.441
